,Time,Fz,Mx,My,CoPx,CoPy
0,0.0,672.4516979999999,35.1641645,-9.9707605,0.01482761,0.05229249
1,0.1,673.3163197,34.903373099999996,-8.3038284,0.012332450000000002,0.05183789999999999
2,0.2,672.6373752,34.1325801,-5.9519535999999995,0.00884858,0.050744290000000004
3,0.3,672.7464683000002,33.084660899999996,-4.662096399999999,0.00693021,0.04917843
4,0.4,673.7378195,33.16274250000001,-4.255475199999999,0.006316050000000001,0.04922224
5,0.5,672.8749295,33.8668253,-4.131858200000001,0.006140579999999999,0.05033147999999999
6,0.6,673.3020681999999,34.2089778,-4.2671567999999995,0.00633765,0.05080759000000001
7,0.7,672.1870995999999,33.7784981,-4.5536267,0.00677427,0.05025170000000001
8,0.8,673.6512596,33.876023599999996,-5.0298619,0.00746677,0.05028722999999999
9,0.9,672.5648349999999,34.6979122,-5.7925628,0.008612210000000002,0.05159012
10,1.0,673.5602822,36.8171044,-6.7400133,0.010006580000000001,0.05466066
11,1.1,672.5264734000001,38.92093729999999,-6.805339300000002,0.010119149999999999,0.05787325
12,1.2,673.2429505999999,38.555736,-7.1540932,0.010626219999999999,0.057269259999999995
13,1.3,672.9708634,37.42394327,-7.385534100000001,0.010974489999999998,0.055609849999999995
14,1.4,673.2123253999999,36.7260322,-7.481553699999998,0.011113180000000002,0.05455341000000002
15,1.5,673.3942979999999,35.330517799999996,-7.3871967000000005,0.010970050000000002,0.05246664000000001
16,1.6,672.0848852,34.19146980000001,-5.9628749999999995,0.00887242,0.05087359999999999
17,1.7,673.2823756000001,34.549820499999996,-5.221670399999999,0.007755569999999998,0.05131543999999999
18,1.8,672.8844821999999,35.899229,-4.8826442000000005,0.007256189999999999,0.053351489999999994
19,1.9,672.8525314999999,36.229008910000005,-4.205750500000001,0.0062510199999999995,0.05384396
20,2.0,673.0654399,35.61723903000001,-3.4052665,0.00505922,0.05291765999999999
21,2.1,672.745249,35.3328821,-3.4564312999999998,0.005137739999999999,0.05252052
22,2.2,673.1277744,35.420040300000004,-3.8885904,0.00577704,0.05262029
23,2.3,672.4240453,35.5312348,-4.2233975,0.006280870000000001,0.05284056000000001
24,2.4,673.5259018,36.1663681,-3.9184525000000012,0.0058179,0.05369693999999999
25,2.5,671.7038126000001,35.7921108,-4.189504400000001,0.00623719,0.05328548
26,2.6,673.4535134999999,35.814736,-4.6562039,0.00691368,0.0531809
27,2.7,672.9542703999999,35.4148506,-4.9729968,0.007389820000000002,0.05262587
28,2.8,672.9911248000001,35.6714766,-5.090079899999999,0.00756335,0.05300441
29,2.9,673.5521193000001,36.116330999999995,-5.371024599999999,0.007974209999999999,0.053620610000000006
30,3.0,672.7002316000002,35.8815033,-5.830440699999997,0.00866701,0.05333943999999999
31,3.1,673.2159426,35.5880855,-5.948949600000001,0.00883674,0.052862530000000005
32,3.2,672.8729989999999,35.5856688,-5.5600417,0.008263050000000001,0.052886069999999986
33,3.3,673.3324719,36.1960362,-5.474042199999999,0.00812984,0.05375675
34,3.4,672.8399641,37.0069025,-5.575094299999997,0.00828603,0.055001190000000005
35,3.5,672.9452331,37.37106054,-5.8592553999999994,0.00870688,0.055533639999999995
36,3.6,673.1609866,37.26161775,-5.8327895000000005,0.00866445,0.055353010000000015
37,3.7,672.9309252,37.07182243,-4.4357731000000005,0.006592390000000001,0.0550901
38,3.8,673.3490399999998,36.60122339,-4.0080200999999995,0.005952450000000001,0.054356840000000003
39,3.9,672.7285388999999,36.218591499999995,-4.9497676,0.007357880000000001,0.053838330000000004
40,4.0,673.0613438,36.3485563,-5.2264165,0.00776518,0.05400486999999998
41,4.1,673.2135893999999,35.643997299999995,-5.4039616,0.008027169999999998,0.052945969999999995
42,4.2,673.1656938,34.77074300000001,-5.7390792,0.00852554,0.05165267
43,4.3,672.9409856,34.20449120000001,-5.372774000000003,0.007983949999999998,0.05082831000000001
44,4.4,672.4302495999998,34.095979400000004,-5.263396500000002,0.00782738,0.05070555000000001
45,4.5,673.467364,34.249054199999996,-5.049788599999999,0.00749811,0.05085479000000001
46,4.6,672.6003489,34.46914000000001,-4.631640100000001,0.00688618,0.05124762000000001
47,4.7,673.0457868999999,34.80209910000001,-4.2349872,0.006292270000000002,0.05170833
