,Time,Fz,Mx,My,CoPx,CoPy
0,0.0,673.0079728999999,35.8055314,-5.710036800000001,0.008484130000000001,0.05320226999999999
1,0.1,672.7310306000003,35.5152488,-5.6735628,0.008433520000000002,0.052792630000000014
2,0.2,672.9805752,35.222016200000006,-5.4029052,0.00802824,0.052337350000000005
3,0.3,672.8792286,35.2569252,-5.0527025000000005,0.007509029999999999,0.05239726
4,0.4,672.8786521000001,35.474821199999994,-4.801164600000001,0.007135239999999999,0.052720899999999994
5,0.5,672.6393827000002,35.635969499999995,-4.775623700000001,0.007099810000000001,0.052979210000000006
6,0.6,672.9748307,35.93856459999999,-4.8958445,0.007275020000000001,0.05340247999999999
7,0.7,673.3199840000001,36.2064398,-4.842159799999999,0.007191430000000002,0.05377298
8,0.8,672.6703130000002,36.60859,-4.5142396,0.00671101,0.05442228999999999
9,0.9,673.2755699000002,37.29376482,-4.2949641000000005,0.00637917,0.05539181
10,1.0,672.7269773000002,38.450747500000006,-4.365889599999999,0.006489889999999999,0.057156580000000005
11,1.1,673.2517743000001,38.651316200000004,-4.6220634999999985,0.00686531,0.05740996000000001
12,1.2,672.5097915,38.2829996,-4.5786761,0.0068083499999999995,0.056925430000000006
13,1.3,673.3661475000001,37.9487624,-4.549354800000001,0.006756110000000001,0.05635693
14,1.4,672.7004175999999,37.641204269999996,-4.7881697,0.007117920000000001,0.05595521
15,1.5,673.3601861999999,37.81063626,-4.888854099999999,0.00726041,0.05615219
16,1.6,672.5254048000002,38.16017811,-5.010708999999999,0.007450699999999999,0.05674162
17,1.7,672.8984697999999,38.24120188,-5.258757200000002,0.00781511,0.05683065
18,1.8,673.0983538999999,37.6079628,-5.524547000000001,0.008207739999999998,0.05587286999999999
19,1.9,672.7030945999999,36.75250720000001,-5.279264599999999,0.00784785,0.05463411
20,2.0,673.0971558,35.980772200000004,-4.8338961000000005,0.00718155,0.05345564
21,2.1,672.2838857000002,35.6227274,-4.5776638,0.00680902,0.05298763
22,2.2,673.1473862,36.051445,-4.642547799999999,0.006896849999999999,0.05355660000000001
23,2.3,672.7893594,36.4567991,-4.9624198999999996,0.007375860000000001,0.05418756
24,2.4,672.9997817000002,36.8609569,-5.234395500000001,0.0077776699999999995,0.054771
25,2.5,672.5240999,37.4115607,-5.320825899999999,0.007911739999999999,0.05562879999999999
26,2.6,673.0034585,38.16664444,-5.3057496,0.00788368,0.05671072
27,2.7,672.4214392,37.78094367,-5.2566539,0.00781755,0.05618636
28,2.8,673.0478925,37.522999500000005,-5.1356475,0.007630440000000001,0.05575086999999999
29,2.9,672.8874956000001,37.60115344999999,-4.9054635,0.0072901699999999995,0.055880330000000006
30,3.0,672.8254518999998,38.16582291999999,-4.783560700000001,0.00710974,0.056724199999999995
31,3.1,672.9257324,38.785926499999995,-4.755967000000002,0.007067609999999999,0.05763794999999999
32,3.2,673.210907,39.278482000000004,-4.7421528,0.0070440599999999996,0.058344750000000015
33,3.3,673.1000508000001,39.707715900000004,-4.8848343,0.007257220000000001,0.05899228000000001
34,3.4,672.696347,39.9895818,-5.211241599999999,0.00774696,0.05944677
35,3.5,673.4975485,40.2866632,-5.407147400000001,0.008028399999999998,0.05981708
36,3.6,672.539809,40.8565574,-5.418768499999999,0.008057250000000002,0.060749700000000004
37,3.7,673.1682983999999,40.70269820000001,-5.437992499999999,0.00807819,0.06046436
38,3.8,673.2125736999999,39.07847613999999,-5.5845288,0.008295410000000001,0.05804708000000001
39,3.9,672.6797954,38.18154646,-5.5636852,0.00827091,0.056760499999999985
40,4.0,673.0979797999998,37.254538000000004,-5.6977831000000005,0.008464999999999999,0.0553478
41,4.1,672.8105271999999,37.3273537,-5.495702899999999,0.00816823,0.05547977
42,4.2,673.0628933,37.2558827,-5.3446185,0.00794068,0.055352639999999995
43,4.3,672.4410194999999,36.67440739999999,-5.1772912999999985,0.00769928,0.05453922999999999
44,4.4,672.9490609999999,36.5208834,-5.0332155,0.00747928,0.05426994
45,4.5,672.7363966000001,36.5134608,-5.0674722,0.007532660000000001,0.054276050000000006
46,4.6,673.0481207999999,36.784620999999994,-5.0089939999999995,0.007442230000000001,0.054653719999999996
47,4.7,672.5565613000002,37.0176008,-5.0959889,0.007577109999999999,0.055040109999999996
48,4.8,672.9183664,37.813040449999995,-5.089924600000001,0.00756399,0.05619244999999999
49,4.9,672.5206023000001,38.62522580000001,-5.2327468,0.007780810000000002,0.05743354999999999
50,5.0,672.6434099000002,38.51465473,-5.3584582,0.007966299999999999,0.057258510000000006
51,5.1,671.5375608999999,37.197071799999996,-4.9952774,0.0074383999999999995,0.05539059000000002
52,5.2,674.0010812,37.23997777,-3.7969313999999996,0.005634199999999999,0.055251259999999996
53,5.3,673.7138681,36.984745800000006,-5.2751128000000005,0.007830609999999998,0.05489648999999999
54,5.4,672.7537404999999,35.86596252999999,-6.7264683000000005,0.00999847,0.05331182999999999
55,5.5,673.9391273999998,36.47269756,-6.922789899999998,0.01027205,0.0541182
56,5.6,672.3129227000001,38.5138071,-7.061935599999998,0.01050403,0.05728631000000001
57,5.7,672.9086115,41.800496599999995,-6.872382100000001,0.010213029999999998,0.06211888
58,5.8,672.0292406000001,43.96998990000001,-6.1125707,0.009095299999999999,0.065429
59,5.9,673.2044968,44.288384900000004,-5.520692800000001,0.00820087,0.06578678
60,6.0,672.9982037,44.4852495,-4.697728200000001,0.006979369999999998,0.06610013
61,6.1,673.4454207000001,44.62831609999999,-2.888778699999999,0.004289810000000001,0.06626853999999999
