,Time,Fz,Mx,My,CoPx,CoPy
0,0.0,673.0368417000001,30.994674900000003,-3.6788088000000005,0.005465930000000001,0.04605147
1,0.1,672.8636402999999,29.8769092,-3.7461591000000003,0.0055674900000000005,0.04440293000000001
2,0.2,672.9464485,29.482630399999998,-3.5141508000000004,0.00522184,0.043811300000000004
3,0.3,672.9959820999998,29.955294500000004,-2.9921744,0.00444617,0.044510400000000006
4,0.4,673.0683338,29.571397199999996,-2.8686311,0.004262100000000001,0.04393501999999999
5,0.5,672.7417548000001,29.3277779,-3.0358585,0.00451269,0.04359447
6,0.6,672.6131753,29.866354599999994,-3.3781261000000002,0.005022410000000001,0.04440326000000001
7,0.7,673.1276549,30.856780299999997,-3.6253283,0.005385719999999999,0.045841080000000006
8,0.8,672.8617917,31.5521727,-3.6890341,0.00548257,0.04689236999999999
9,0.9,672.8101633,32.364020399999994,-3.6187264999999997,0.0053785399999999985,0.04810268000000001
10,1.0,672.5556031000001,32.93369559999999,-3.5105147999999997,0.005219659999999999,0.04896806999999999
11,1.1,672.8806509000001,33.468698800000006,-3.5503724,0.00527636,0.049739389999999994
12,1.2,672.8057135999998,33.454583500000005,-3.672768299999999,0.005458899999999999,0.049723949999999996
13,1.3,672.9664977,32.7748315,-3.5768345000000004,0.005315059999999999,0.04870202999999999
14,1.4,672.7958224,32.520280799999995,-3.5278445000000005,0.00524359,0.04833595000000001
15,1.5,672.3378901,32.4908477,-3.5446859,0.00527215,0.04832509
16,1.6,673.1437097999999,32.7773255,-3.5634940000000004,0.005293760000000001,0.048692620000000006
17,1.7,672.6767509,33.090020800000005,-3.5886853000000003,0.005334880000000001,0.049191509999999994
18,1.8,672.9429989999999,33.538746599999996,-3.4763798,0.005165940000000001,0.04983891
19,1.9,672.915321,33.921266,-3.5406951,0.00526179,0.05040941000000001
20,2.0,672.8325669000001,34.341518699999995,-3.828825700000001,0.005690539999999999,0.051040100000000026
21,2.1,673.2187576000001,34.3326499,-4.384160199999999,0.006512180000000001,0.0509978
22,2.2,673.1702774999999,33.9140974,-4.7516224,0.007058560000000002,0.05037961999999999
23,2.3,673.0471609,33.3626209,-4.774140399999999,0.0070933,0.049569480000000006
24,2.4,672.8072798000001,33.298409199999995,-4.3351976,0.0064433,0.04949175
25,2.5,672.8083164000001,33.649878199999996,-3.9259043999999994,0.005835140000000001,0.05001402999999999
26,2.6,673.1154912000001,33.974423699999996,-3.614234499999999,0.0053694500000000004,0.05047345999999999
27,2.7,672.7965665,34.1341051,-3.5130217,0.005221539999999999,0.05073456000000001
28,2.8,673.1862735,34.21667969999999,-3.646363600000001,0.00541661,0.05082798
29,2.9,672.3754521999998,33.891361100000005,-3.6337621000000007,0.00540434,0.050405169999999985
30,3.0,673.2335628999999,33.8064587,-3.4394534000000005,0.00510898,0.050215
31,3.1,672.6691726999999,33.6416984,-3.3216303999999996,0.004937990000000001,0.05001224
32,3.2,672.8954597999999,33.739089,-3.2043510999999993,0.0047620299999999996,0.050140149999999994
33,3.3,673.0781106999999,33.6196303,-3.4156278,0.00507459,0.049949059999999997
34,3.4,672.4370575,33.54914680000001,-3.426669299999999,0.0050958800000000005,0.04989185
35,3.5,672.9083609000002,34.2404838,-3.3379539000000005,0.0049605,0.050884410000000005
36,3.6,672.7552635,34.843567799999995,-3.237560599999999,0.004812489999999999,0.051792269999999994
37,3.7,673.0129966999999,35.147561700000004,-3.082481299999999,0.00458013,0.05222419
38,3.8,672.739636,35.0836623,-2.9373043,0.00436624,0.05215039999999999
39,3.9,672.1292023000001,34.824601,-2.8323603000000004,0.00421397,0.05181234
40,4.0,673.2854837,34.9204456,-2.9821760999999998,0.00442932,0.05186565
41,4.1,672.7123716000001,34.8594139,-3.2442545000000007,0.0048226,0.0518191
42,4.2,673.0142094999999,35.158381,-3.4497847000000004,0.00512593,0.052240220000000004
43,4.3,672.8268218000001,35.2086236,-3.650525799999999,0.00542565,0.052329410000000014
44,4.4,672.6943905,35.177400799999994,-3.9164423000000004,0.00582201,0.05229322
45,4.5,673.1587533999998,35.28958599999999,-3.7152499,0.005519070000000002,0.052423859999999996
46,4.6,672.9086616,34.9530964,-3.2928121999999997,0.0048935,0.051943310000000006
47,4.7,673.0267961000001,34.826893399999996,-3.0385901,0.00451472,0.05174663000000001
48,4.8,672.9347266,35.00034080000001,-2.8849274999999994,0.00428705,0.05201143999999999
49,4.9,672.9912312,35.090742500000005,-2.9614556,0.004400500000000001,0.052141320000000005
50,5.0,673.0593888,34.8919504,-3.099089899999999,0.00460448,0.051840830000000004
51,5.1,672.9984268000001,34.4247508,-3.0652274,0.00455453,0.051151350000000005
52,5.2,673.1879690000001,34.167835200000006,-2.9616454999999995,0.00439947,0.050755280000000014
53,5.3,672.6866121,34.283370500000004,-2.8162457,0.004186579999999999,0.05096495
54,5.4,672.8691186,34.6624114,-2.7795023000000003,0.00413076,0.051514269999999994
55,5.5,672.8697612999999,34.9324318,-3.0081477000000003,0.004470630000000001,0.051915569999999994
56,5.6,672.9271787000001,35.1206016,-3.1613670000000007,0.00469791,0.052190810000000004
57,5.7,672.9794222000002,34.8970621,-3.2840742000000005,0.004879970000000001,0.05185472000000001
58,5.8,672.3617369,34.497300900000006,-3.3067067,0.004918049999999999,0.051307660000000005
59,5.9,673.2374183,34.1073346,-3.3351846,0.00495391,0.05066168
60,6.0,672.7761832000001,33.65629630000001,-3.2916012,0.004892549999999999,0.050025999999999994
61,6.1,672.7695604,33.4702566,-3.0425913,0.0045226,0.049749919999999996
62,6.2,672.9581504,33.6714395,-2.6674732999999997,0.00396376,0.05003511999999999
63,6.3,672.4483419000001,34.14097280000001,-2.4422987999999997,0.0036319399999999997,0.05077109
64,6.4,672.9293137,34.3338158,-2.5501772000000003,0.0037896899999999996,0.051021430000000006
65,6.5,672.8011636,34.0996067,-2.4393039,0.00362565,0.050683030000000004
66,6.6,672.8764201999999,33.7861689,-2.2363977000000004,0.0033236900000000002,0.05021162999999999
