,Time,Fz,Mx,My,CoPx,CoPy
0,0.0,673.128833,32.898813600000004,-7.278190499999999,0.010812530000000002,0.04887436
1,0.1,673.1046964,33.774344199999994,-6.6448792,0.00987212,0.05017671
2,0.2,672.5976968,34.232035399999994,-5.9858869,0.00889923,0.050895449999999995
3,0.3,672.9921373999998,34.6958465,-5.3660111,0.007973570000000001,0.05155466
4,0.4,673.0911517000001,33.297154,-5.394278100000001,0.008014350000000002,0.04946822
5,0.5,672.7169614000002,32.6693771,-5.123454799999999,0.007616269999999998,0.048563150000000006
6,0.6,673.2540483,34.010996899999995,-4.1070828,0.0061006,0.05051692
7,0.7,672.5565616999999,35.295412899999995,-3.3593068999999995,0.00499459,0.05247981999999998
8,0.8,674.0325171,34.859583300000004,-3.4056674,0.00505251,0.051718379999999994
9,0.9,671.8120737,33.537828299999994,-3.8973868000000005,0.00580143,0.04992137999999999
10,1.0,673.8218017,34.12042350000001,-3.5755117000000003,0.005306290000000002,0.05063735
11,1.1,673.1382116000001,34.4686234,-3.2971355000000004,0.004898180000000001,0.051205799999999996
12,1.2,672.7492772,34.554803899999996,-2.9934887,0.00444961,0.051363559999999996
13,1.3,673.7384959,33.9353391,-3.4822142,0.005168329999999999,0.05036891999999999
14,1.4,672.5357993000001,33.217417700000006,-3.6416372999999997,0.005414850000000001,0.04939133
15,1.5,673.4747580999999,33.4734285,-3.4964087000000013,0.005191640000000001,0.04970257
16,1.6,673.1079336999999,33.45730699999999,-3.6480013000000002,0.005419579999999999,0.04970570999999999
17,1.7,672.6102011000002,33.717180299999995,-4.0121376,0.005965029999999999,0.05012886
18,1.8,673.3245586999999,33.8465104,-4.4531932,0.00661382,0.05026766999999999
19,1.9,672.9553478999999,33.48090090000001,-5.133566999999999,0.00762828,0.04975203
20,2.0,673.1225929000002,32.896292100000004,-5.585822100000001,0.00829835,0.048871090000000006
21,2.1,673.1997499,32.307418899999995,-5.992345299999999,0.00890139,0.04799069
22,2.2,672.5334399,32.153134900000005,-6.0777499000000015,0.009037090000000001,0.047808699999999996
23,2.3,673.3589432000001,32.6462736,-5.9544877000000005,0.008843040000000002,0.04848273999999999
24,2.4,672.8724442,33.2065279,-5.7424307,0.00853418,0.04935043
25,2.5,672.9079128999999,33.5252846,-5.6690278,0.008424729999999998,0.049821479999999994
26,2.6,673.0666044000001,33.9760752,-5.567750200000002,0.00827207,0.05047944
27,2.7,672.8724266000004,34.1578694,-5.5119131,0.00819165,0.050764319999999995
28,2.8,672.973389,33.8127336,-5.5238505,0.008208040000000002,0.05024368
29,2.9,672.8672434000001,33.6902607,-5.343585300000001,0.007941450000000001,0.050069739999999995
30,3.0,673.0242486999999,33.4326087,-5.1578954999999995,0.00766384,0.04967521
31,3.1,672.7746214,33.02327459999999,-5.600427400000001,0.008324640000000001,0.049085050000000005
32,3.2,673.2123947,32.5753453,-5.9475781,0.00883461,0.04838806
33,3.3,673.3994693000001,32.042571900000006,-5.6980958,0.008461610000000001,0.047582820000000005
34,3.4,673.226991,31.6600867,-5.7504673,0.0085415,0.04702732999999999
35,3.5,673.2444474,31.7343128,-5.799439500000001,0.00861412,0.04713641999999999
36,3.6,672.5220764,32.0678097,-5.8227024,0.00865803,0.047682920000000004
37,3.7,673.3993143999999,32.73296049999999,-5.7348311,0.00851638,0.04860850000000001
38,3.8,672.9030561000001,32.805368800000004,-5.7729525,0.00857933,0.048751949999999995
39,3.9,673.2589750000001,32.332351,-5.8560442,0.008698089999999999,0.04802373999999999
40,4.0,673.1244846999999,31.751799699999996,-5.956832600000001,0.00884957,0.04717079
41,4.1,672.6704386,31.75453090000001,-5.8482584,0.00869413,0.047206639999999994
42,4.2,673.3796168000001,32.3079011,-5.607913399999998,0.008328040000000002,0.04797874
43,4.3,672.8656222999998,33.024255,-5.404759999999999,0.00803238,0.049079899999999996
44,4.4,673.0181118,33.455336100000004,-5.351281000000001,0.007951229999999998,0.049709470000000006
