,Unnamed: 0,Time,Mx,My,CoPx,CoPy
0,0,0.0,-0.1332398333333316,-0.1166804999999992,0.0,0.0
1,1,0.06,-0.4713191666666647,-0.236441666666666,0.0001672333333333,-0.0006597833333333001
2,2,0.12,-0.7418079999999982,-0.2848256666666658,0.0002915833333333,-0.0010317
3,3,0.18,-1.1873146666666652,-0.2332499999999993,0.00021156666666670003,-0.00177575
4,4,0.24,-1.437946666666665,-0.3393608333333325,0.0003961333333333,-0.0021983166666667
5,5,0.3,-1.6779419999999985,-0.5381658333333326,0.0007359166666667,-0.0026101166666667
6,6,0.36,-1.8887021666666652,-0.6685363333333326,0.0009483166666667001,-0.0029916833333333
7,7,0.42,-1.8378541666666652,-0.5797456666666659,0.0007791166666667,-0.0029402833333333
8,8,0.48,-1.1987156666666647,-0.3850818333333327,0.0004141166666667,-0.00191655
9,9,0.54,-0.5827116666666646,-0.2188593333333327,0.0002193666666667,-0.0006710333333333001
10,10,0.6,0.4026645000000016,-0.0706603333333326,-4.989999999999999e-05,0.0009806166666665
11,11,0.66,1.3853056666666683,-0.0886326666666659,-8.569999999989236e-05,0.0025083166666665
12,12,0.72,1.7397783333333336,0.0056815000000005,-0.00021479999999985414,0.0031888999999998
13,13,0.78,2.2076416666666687,0.0183963333333339,-0.0002283833333331989,0.0040084666666665
14,14,0.84,2.395106500000002,-0.0410228333333326,-0.0001213666666665426,0.0043416166666665
15,15,0.9,2.524587666666669,0.0343083333333338,-0.00025456666666652566,0.0045524333333331005
16,16,0.96,2.516242333333335,-0.0045528333333325,-0.00019471666666653426,0.004522099999999801
17,17,1.02,2.3675941666666684,-0.0072411666666658,-0.00018273333333320102,0.0042861166666665
18,18,1.08,2.3993951666666686,-0.0061306666666658,-0.00024426666666653256,0.0041969999999998
19,19,1.14,1.789547000000001,0.0709730000000005,-0.0003016999999998,0.0033324999999998
20,20,1.2,1.722092833333335,0.0964666666666674,-0.0003273333333331,0.0032603833333330998
21,21,1.26,1.6117690000000024,-0.0863029999999992,-6.328333333325551e-05,0.0029573999999998
22,22,1.32,1.2643231666666688,-0.0938376666666658,-3.5016666666599995e-05,0.0023980833333331
23,23,1.38,0.8636193333333353,-0.1428768333333327,3.23e-05,0.0016757333333330998
24,24,1.44,0.2968206666666688,0.005513833333334,-0.00020918333333319765,0.0007341999999998
25,25,1.5,0.1020329666666676,0.0198888333333341,-0.0002332999999998456,0.000402833333333188
26,26,1.56,0.2962728500000018,0.0048826666666674,-0.0002167166666665295,0.0007139499999997999
27,27,1.62,0.7114525000000017,0.0029175000000007,-0.00020891666666653102,0.0014342166666664999
28,28,1.68,1.290413000000002,-0.0118668333333326,-0.00019333333333319775,0.0024002666666665
29,29,1.74,1.8601083333333357,-0.017359166666666,-0.0001553499999998696,0.0034426333333331
30,30,1.8,2.5195426666666685,-0.0860438333333326,-2.84833333333e-05,0.0045920833333331
31,31,1.86,2.9434590000000016,-0.4451339999999993,0.0005462333333333,0.0052237999999998
32,32,1.92,2.757943500000002,-0.5313049999999993,0.0006924166666667,0.0049046166666665
33,33,1.98,2.5143806666666686,-0.4800819999999994,0.00062555,0.004536783333333101
34,34,2.04,2.2784861666666685,-0.4204498333333324,0.0005303666666667,0.0041483999999998005
35,35,2.1,2.332157833333336,-0.3847064999999991,0.00044510000000000003,0.0041841333333331
36,36,2.16,2.325423333333335,-0.2297728333333325,0.00019510000000000003,0.0042080666666665005
37,37,2.22,2.536842500000002,-0.2898179999999993,0.0002833,0.0045343499999998
38,38,2.28,2.791128500000001,-0.288083166666666,0.0002531333333333,0.004904749999999801
39,39,2.34,2.675241166666667,-0.2164678333333325,0.0002048333333333,0.0048833499999998
40,40,2.4,2.6824531666666696,-0.2946279999999992,0.0003379333333333,0.0048944166666665
41,41,2.46,2.5676703333333357,-0.3649741666666661,0.00042239999999999997,0.0046126833333331
42,42,2.52,2.3927115000000025,-0.4527664999999992,0.0005533833333333,0.0042687166666665
43,43,2.58,2.2123453333333347,-0.5482259999999993,0.00074325,0.0040227666666665
44,44,2.64,2.160277500000002,-0.6329778333333328,0.0008838833333333001,0.0039237999999998
45,45,2.7,1.957279166666669,-0.651368833333333,0.0009122333333333,0.0035694499999998
46,46,2.76,1.851741000000002,-0.7048471666666659,0.0010011833333332999,0.0033836666666665
47,47,2.82,1.758668000000002,-0.8167291666666663,0.0011774666666667,0.0031908333333331
48,48,2.88,1.6141058333333345,-0.9129403333333324,0.00131965,0.0028945999999998
49,49,2.94,1.003706483333335,-0.9218761666666656,0.0014085500000000002,0.0020135166666665
50,50,3.0,0.4089266666666675,-0.976975666666666,0.0015166166666666999,0.0010245666666665
51,51,3.06,0.1245181666666688,-1.1303924999999997,0.0017317500000000002,0.0004378166666665
52,52,3.12,-0.1066649999999976,-1.0786794999999991,0.0016114333333333,-2.4299999999999994e-05
53,53,3.18,-0.3100511666666648,-1.0241449999999992,0.0015583666666667,-0.0002882
54,54,3.24,-0.2223778333333319,-0.9787568333333332,0.0014778,-0.0001443166666667
55,55,3.3,-0.2039076666666645,-1.0078289999999992,0.00151985,-0.0001290333333333
56,56,3.36,-0.1306191666666646,-1.0294576666666655,0.0015669333333333002,1.7516666666700007e-05
57,57,3.42,0.0126681666666688,-1.1508898333333326,0.00174005,0.00019043333333329998
58,58,3.48,0.062291000000002,-1.143487666666666,0.0017204999999999998,0.0002608833333332139
59,59,3.54,0.059702166666668,-1.1106413333333327,0.0017089333333333,0.0003497833333332022
60,60,3.6,-0.0446056666666647,-1.1052823333333324,0.00174325,0.00026239999999989986
