,Unnamed: 0.1,Unnamed: 0,Time,Mx,My,CoPx,CoPy
0,0,0,0.0,0.0,0.0,0.0,0.0
1,1,1,0.06,0.20736999999999992,0.1441406666666667,-0.0002345166666665,0.0003414166666666
2,2,2,0.12,0.2804998333333335,0.24220700000000028,-0.0004035833333331,0.0004679166666667
3,3,3,0.18,0.2418193333333332,0.3795186666666668,-0.0006153666666665,0.0003884666666667
4,4,4,0.24,0.115569,0.6793863333333334,-0.0011596499999998,0.00021165
5,5,5,0.3,0.2120905,0.9346308333333334,-0.0015591666666665,0.0003515833333332
6,6,6,0.36,0.13887049999999998,1.1289918333333337,-0.0018739666666665,0.0002212166666666
7,7,7,0.42,-0.033858833333333394,1.2959223333333336,-0.0021652999999998,-5.843333333339999e-05
8,8,8,0.48,-0.3057113333333333,1.299504333333333,-0.0021823333333331,-0.0005052999999998
9,9,9,0.54,-0.2721536666666667,1.2990901666666668,-0.0021580166666665,-0.0004658833333331
10,10,10,0.6,-0.041356166666666694,1.299340666666667,-0.0021571166666665,-8.111666666669998e-05
11,11,11,0.66,0.27632633333333345,1.2325754999999998,-0.0020531166666665,0.0004555666666667
12,12,12,0.72,0.2802638333333334,1.313455166666667,-0.0021835666666665,0.0004584
13,13,13,0.78,-0.019115833333333304,1.3085773333333337,-0.0022174666666665,-1.098333333329998e-05
14,14,14,0.84,-0.21216,1.3288866666666663,-0.0022171666666665,-0.0003588999999999
15,15,15,0.9,-0.7514738333333333,1.2371665000000003,-0.0020562666666665,-0.0012660166666665
16,16,16,0.96,-1.203421833333333,1.0948233333333335,-0.0018267333333331,-0.0020160166666665
17,17,17,1.02,-1.127989333333333,1.0005363333333335,-0.0016620499999998,-0.0018946166666665
18,18,18,1.08,-0.8770991666666665,0.962301666666667,-0.0016083499999998,-0.0014681166666665
19,19,19,1.14,-0.7129193333333333,0.9215871666666668,-0.0015333999999998,-0.0011983666666665
20,20,20,1.2,-0.508657833333333,0.8797723333333334,-0.0014635166666665,-0.0008567666666664
21,21,21,1.26,-0.4864033333333333,0.6997110000000001,-0.0011527999999998,-0.0008266499999998
22,22,22,1.32,-0.7916748333333331,0.6041693333333337,-0.0010333499999998,-0.0013081333333332
23,23,23,1.38,-1.1514773333333335,0.5179841666666668,-0.0008642666666665,-0.0019276666666665
24,24,24,1.44,-1.6074348333333333,0.5584501666666669,-0.0009253666666665,-0.0026945166666665
25,25,25,1.5,-2.0343828333333334,0.5369890000000003,-0.0008949333333331,-0.0034051833333331
26,26,26,1.56,-2.2340508333333333,0.4766271666666667,-0.0007995833333331,-0.0037358666666665
27,27,27,1.62,-2.3899025,0.48148533333333365,-0.0008028166666665,-0.0039992499999998
28,28,28,1.68,-2.709206500000001,0.4895848333333336,-0.0008165999999998,-0.0045334166666665
29,29,29,1.74,-3.0114345,0.4565674999999999,-0.0007523499999998,-0.0050434833333332
30,30,30,1.8,-3.2089276666666664,0.466083,-0.0007556333333331,-0.0053801333333332
31,31,31,1.86,-3.2646908333333333,0.4585006666666667,-0.0007888333333331,-0.0054504833333331
32,32,32,1.92,-3.0980271666666668,0.4698675000000003,-0.0007756166666665,-0.0051876833333332
33,33,33,1.98,-3.109500333333333,0.5023340000000003,-0.0008311166666665,-0.0052063166666665
34,34,34,2.04,-2.961086833333334,0.5737770000000001,-0.0009538166666665,-0.0049564999999998
35,35,35,2.1,-2.8406350000000002,0.6264906666666669,-0.0010456833333331,-0.0047529833333332
36,36,36,2.16,-2.7065836666666674,0.6458201666666668,-0.0010789666666665,-0.0045283333333331
37,37,37,2.22,-2.5872283333333326,0.6703256666666666,-0.0011176999999998,-0.0043299999999997
38,38,38,2.28,-2.3933063333333333,0.6499338333333335,-0.0010828666666665,-0.0040060333333331
39,39,39,2.34,-2.260936666666667,0.6487001666666666,-0.0010714833333331,-0.0037900499999998
40,40,40,2.4,-2.248487833333334,0.6103275,-0.0010388666666665,-0.0037508999999998
41,41,41,2.46,-2.0775419999999998,0.6180118333333333,-0.0010253999999998,-0.0034803999999998
42,42,42,2.52,-1.9386206666666668,0.6310065,-0.0010496499999998,-0.0032464833333332
43,43,43,2.58,-1.4571485,0.6884653333333333,-0.0011432166666665,-0.0024430499999998
44,44,44,2.64,-1.0034398333333332,0.7092578333333333,-0.0011942166666665,-0.0016732166666665
45,45,45,2.7,-0.6679746666666667,0.7814240000000003,-0.0013028333333331,-0.0011204166666665
46,46,46,2.76,-0.3904900000000001,0.8717948333333339,-0.0014510666666665,-0.0006583833333332
47,47,47,2.82,-0.4288358333333334,0.9416603333333334,-0.0015713999999998,-0.0007197999999998
48,48,48,2.88,-0.4742513333333333,0.9639436666666668,-0.0016061666666665,-0.0007977999999998
49,49,49,2.94,-0.47829033333333326,0.9944993333333334,-0.0016483833333331,-0.0008110999999998
50,50,50,3.0,-0.7722761666666669,0.9410341666666666,-0.0015934833333331,-0.0012785166666665
51,51,51,3.06,-0.9784854999999999,0.8996215000000002,-0.0015004499999998,-0.0016398166666664
52,52,52,3.12,-1.1997961666666668,0.8561110000000002,-0.0014263166666665,-0.0020107999999998
53,53,53,3.18,-1.2400851666666666,0.8665309999999998,-0.0014400666666665,-0.0020805833333331
54,54,54,3.24,-1.2104771666666667,0.8670236666666666,-0.0014607333333331,-0.0020179833333331
55,55,55,3.3,-1.0561591666666665,0.8897293333333334,-0.0014825166666665,-0.0017707499999997
56,56,56,3.36,-0.9240845000000001,0.8727835000000002,-0.0014510333333331,-0.0015519166666665
57,57,57,3.42,-0.9770673333333333,0.8451863333333335,-0.0014133499999998,-0.0016347499999998
