,Unnamed: 0.1,Unnamed: 0,Time,Mx,My,CoPx,CoPy
0,0,0,0.0,0.0,0.0,0.0,0.0
1,1,1,0.06,-1.6467658333333333,2.4267443333333336,-0.0040041166666666,-0.0027682000000001
2,2,2,0.12,-1.9462808333333332,4.0594624999999995,-0.0068924,-0.0031871833333334
3,3,3,0.18,-0.4458875000000002,5.427528666666667,-0.0091118,-0.0007114500000001
4,4,4,0.24,0.610645,7.724687500000001,-0.01294275,0.0010508499999999
5,5,5,0.3,1.2398820000000002,9.368195499999999,-0.0158112833333334,0.0021625166666663
6,6,6,0.36,1.910988,9.676564833333334,-0.0162462166666667,0.0032454999999997
7,7,7,0.42,2.5199836666666666,8.09758766666667,-0.0136050333333334,0.0042648166666664
8,8,8,0.48,2.7571758333333327,4.7514416666666675,-0.0080673666666667,0.0047011166666664
9,9,9,0.54,2.7941903333333333,1.7098640000000003,-0.00288925,0.0046912999999998
10,10,10,0.6,3.352816,-0.7126768333333333,0.0011483833333333,0.0056339166666664
11,11,11,0.66,3.8771006666666663,-2.6558113333333337,0.0043497166666665,0.0065774999999998
12,12,12,0.72,3.4782856666666664,-3.8463873333333334,0.0063259499999997,0.0059401333333331
13,13,13,0.78,2.866804,-4.446253166666667,0.0073737499999998,0.0048410833333331
14,14,14,0.84,2.4020016666666666,-4.878817333333333,0.0081021833333331,0.0040547333333331
15,15,15,0.9,2.3782925,-5.274395999999999,0.0087611999999998,0.0040189499999998
16,16,16,0.96,2.1221931666666665,-5.291627333333334,0.0087718499999998,0.0036258166666663
17,17,17,1.02,2.0940771666666667,-5.002165833333334,0.0083015499999998,0.0035520666666663
18,18,18,1.08,1.5348971666666666,-4.5557945,0.0075351166666664,0.0026489166666665
19,19,19,1.14,1.1054384999999998,-4.193411000000001,0.0069468833333331,0.0019022166666664
20,20,20,1.2,0.47641766666666674,-4.189652166666668,0.0069474499999998,0.0008402666666666
21,21,21,1.26,-0.07896100000000006,-4.6226071666666675,0.0076683833333331,-8.415000000000007e-05
22,22,22,1.32,-0.26277266666666654,-5.032103833333334,0.0083563499999998,-0.0003960833333333
23,23,23,1.38,-0.040031999999999957,-4.9628325,0.0082329999999998,-1.2566666666700022e-05
24,24,24,1.44,0.6067423333333335,-4.786701333333334,0.0079534333333331,0.0010458666666665
25,25,25,1.5,1.1868035,-4.868307500000001,0.0080588833333332,0.0020655666666664
26,26,26,1.56,1.9169606666666665,-4.6887731666666665,0.0077780166666665,0.0032549499999998
27,27,27,1.62,2.2084575000000006,-4.424720666666667,0.0073353333333331,0.0037442833333331
28,28,28,1.68,2.6016466666666664,-3.8701033333333337,0.006404233333333,0.0044074666666664
29,29,29,1.74,2.53895,-3.381752333333333,0.0055732833333331,0.0043237166666664
30,30,30,1.8,2.445581333333333,-2.911638500000001,0.0048053666666665,0.0041399499999998
31,31,31,1.86,2.239139833333333,-2.408652,0.0039602833333331,0.0037998666666664
32,32,32,1.92,1.8231486666666665,-1.9366394999999996,0.0031861999999997,0.003085783333333
33,33,33,1.98,1.4420446666666664,-1.6825365,0.0027335666666665,0.0024793499999998
34,34,34,2.04,1.0570001666666666,-1.4106801666666666,0.0022769333333331,0.001836683333333
35,35,35,2.1,0.1927311666666668,-1.2711896666666667,0.0020675499999998,0.0003671999999999
36,36,36,2.16,-0.6868648333333334,-1.081286,0.0017450833333332,-0.0010993166666666
37,37,37,2.22,-1.7847028333333332,-0.8246206666666667,0.0013092666666667,-0.0029309333333334
38,38,38,2.28,-2.6895560000000005,-0.6393228333333334,0.0010016666666666,-0.0044457500000001
39,39,39,2.34,-3.2805585000000006,-0.5845465000000001,0.0009213499999999,-0.0054404500000001
40,40,40,2.4,-3.4385768333333333,-0.6175816666666667,0.0009647999999999,-0.0056986666666667
41,41,41,2.46,-3.1635996666666664,-0.5965683333333335,0.0009499999999999,-0.0052494666666667
42,42,42,2.52,-2.7263333333333337,-0.5750431666666667,0.0008599666666666,-0.0044878666666667
43,43,43,2.58,-2.004825666666667,-0.5499885,0.0008561666666666,-0.0033032833333334
44,44,44,2.64,-1.5208401666666669,-0.4461143333333336,0.0006853999999999,-0.0024957666666667
45,45,45,2.7,-1.1162581666666669,-0.4205779999999999,0.0006400166666666,-0.0018171833333334
46,46,46,2.76,-0.9012993333333335,-0.5058853333333334,0.0007606,-0.0014413000000001
47,47,47,2.82,-0.7040206666666664,-0.5764081666666667,0.0009039666666665,-0.0011306166666667
48,48,48,2.88,-0.6217440000000001,-0.5955123333333333,0.0009221333333333,-0.0009820999999999
49,49,49,2.94,-0.4535389999999997,-0.6542285,0.0010283333333333,-0.0007071333333334
50,50,50,3.0,-0.6454736666666665,-0.6557421666666667,0.0010287166666667,-0.0010266500000001
51,51,51,3.06,-1.0522886666666666,-0.5446688333333334,0.0008225666666667,-0.0016920333333334
52,52,52,3.12,-1.2080285000000006,-0.5104873333333333,0.0007892333333333,-0.00196995
53,53,53,3.18,-1.4294853333333335,-0.3159416666666667,0.0004677666666667,-0.0023430166666667
54,54,54,3.24,-1.6698193333333333,-0.17816683333333339,0.0002169166666666,-0.0027314500000001
55,55,55,3.3,-1.3866311666666666,-0.004171166666666393,-6.585000000000011e-05,-0.0022633
56,56,56,3.36,-1.0852043333333337,-0.07701716666666669,6.153333333329988e-05,-0.0017628000000001
