,Time,Mx,My,CoPx,CoPy
0,0.0,-0.2472951666666682,0.07539683333333332,-0.00011094999999997512,-0.0003789333333332598
1,0.06,-0.516818166666669,0.16019400000000011,-0.0002673833333332966,-0.00086824999999992
2,0.12,-0.7794165000000014,0.17823149999999996,-0.00028491666666662666,-0.0012853499999999067
3,0.18,-1.0825783333333354,0.2141563333333333,-0.00035154999999994666,-0.0018158499999999067
4,0.24,-1.2270928333333346,0.2849381666666667,-0.0005082999999999634,-0.002148749999999913
5,0.3,-1.3438605000000015,0.4954003333333334,-0.000832299999999975,-0.0022619166666665836
6,0.36,-1.8427036500000014,0.6545414999999999,-0.0010818833333333003,-0.00306061666666658
7,0.42,-2.351585000000001,0.8237033333333336,-0.0013830666666666317,-0.0039598166666665905
8,0.48,-2.7239093333333346,0.9851759999999998,-0.0016865999999999695,-0.004662633333333246
9,0.54,-3.069680500000002,1.1797980000000001,-0.0020191666666666353,-0.00525318333333326
10,0.6,-3.2605221666666684,1.3591671666666665,-0.0022900666666666432,-0.005492533333333244
11,0.66,-3.194616666666668,1.3644135000000002,-0.0023316666666666143,-0.005459199999999922
12,0.72,-3.123862666666669,1.2562988333333331,-0.0021526833333333014,-0.0053523999999999195
13,0.78,-3.0081963333333355,1.2156974999999999,-0.0020746333333332982,-0.005133849999999913
14,0.84,-2.7093815000000014,1.0803040000000002,-0.0018515333333333035,-0.004643299999999919
15,0.9,-2.454575683333334,0.9756840000000001,-0.0016769833333333017,-0.004218299999999922
16,0.96,-2.3790490000000015,0.83184,-0.001356533333333308,-0.003909666666666581
17,1.02,-2.206783833333335,0.5098883333333334,-0.000815099999999975,-0.0036384999999999157
18,1.08,-2.2763464500000015,0.32513550000000024,-0.0005776666666666333,-0.003942549999999917
19,1.14,-2.3592181666666687,0.4031528333333334,-0.0006904499999999685,-0.004035999999999914
20,1.2,-2.2982744333333347,0.5631263333333333,-0.0009454166666666365,-0.00388814999999991
