,Time,Mx,My,CoPx,CoPy
0,0.0,0.7272011666666635,0.46223916666666565,-0.000828666666666657,0.0012988999999999696
1,0.06,2.55308233333333,1.4009839999999987,-0.0023356666666666578,0.004295499999999953
2,0.12,3.95300583333333,1.9125753333333317,-0.0031389666666666615,0.006601666666666622
3,0.18,2.4700518333333292,1.8538588333333317,-0.003574849999999986,0.004777249999999947
4,0.24,0.9888214999999966,2.4512041666666655,-0.0042886499999999885,0.001766849999999965
5,0.3,-0.8255911666666704,3.045891666666665,-0.00527496666666666,-0.0014410333333333047
6,0.36,-3.5698310000000038,3.575932666666666,-0.0062974,-0.006078816666666638
7,0.42,-6.046283833333337,4.147348999999999,-0.00708853333333333,-0.010584416666666631
8,0.48,-7.4601408333333366,3.1203261666666653,-0.005468149999999995,-0.01288014999999995
9,0.54,-8.298549166666671,1.901600333333332,-0.003265633333333327,-0.01441924999999994
10,0.6,-8.907984000000003,0.8475359999999987,-0.0015360499999999817,-0.015380249999999948
11,0.66,-9.443366500000002,0.035833166666665514,-0.00010238333333335855,-0.016334333333333326
12,0.72,-9.152853833333337,-0.3314631666666681,0.0005187999999999033,-0.015813066666666646
13,0.78,-8.966548000000001,-0.03559783333333469,-3.320000000003556e-05,-0.015450633333333299
14,0.84,-9.34489133333334,0.9330878333333319,-0.0016073666666666616,-0.016213283333333293
15,0.9,-10.393189666666672,2.068750166666666,-0.003619533333333328,-0.01799256666666664
16,0.96,-10.840248500000003,3.1971643333333324,-0.005608549999999996,-0.018742349999999977
17,1.02,-11.105034166666673,4.020935333333332,-0.007056966666666666,-0.01918761666666663
18,1.08,-11.15081966666667,4.573372,-0.007974083333333331,-0.019300199999999955
19,1.14,-11.271153333333338,4.7767443333333315,-0.008340983333333333,-0.01949828333333331
20,1.2,-11.646961333333339,4.668784833333333,-0.008149266666666665,-0.02015396666666664
21,1.26,-11.966622333333339,4.351445166666665,-0.0075762833333333284,-0.02072564999999997
22,1.32,-12.258124500000001,4.087997833333332,-0.0072327666666666636,-0.02114568333333331
23,1.38,-11.921721833333338,4.206022166666665,-0.007306899999999995,-0.02066078333333332
24,1.44,-11.381211500000006,4.308124833333332,-0.007518816666666665,-0.019696066666666633
25,1.5,-10.684649333333338,4.465874666666665,-0.007824616666666664,-0.018461583333333302
26,1.56,-10.012216666666667,4.516860666666664,-0.007889666666666663,-0.017313183333333298
27,1.62,-9.34956366666667,4.421915666666665,-0.007716449999999999,-0.016169699999999985
28,1.68,-9.131076000000004,4.5016618333333325,-0.007859933333333334,-0.0157861833333333
29,1.74,-8.733125333333337,4.566168166666666,-0.007974516666666667,-0.015093199999999972
30,1.8,-8.082919000000002,4.508155499999999,-0.00782015,-0.014012133333333295
31,1.86,-7.567858500000002,4.3198894999999995,-0.007630166666666665,-0.01299443333333329
32,1.92,-6.668909000000004,4.280035833333332,-0.0074876999999999964,-0.011501049999999973
33,1.98,-5.7646451666666705,4.1928961666666655,-0.0072659166666666644,-0.009999216666666621
34,2.04,-5.19371566666667,3.9981013333333317,-0.006996249999999994,-0.008941266666666607
35,2.1,-5.190927666666671,4.0161506666666655,-0.007062416666666666,-0.00890158333333329
36,2.16,-5.0329036666666696,4.002317499999999,-0.006963449999999999,-0.008702466666666587
37,2.22,-5.089765166666671,3.6741593333333324,-0.006437233333333325,-0.008757116666666604
38,2.28,-4.994527333333336,3.2371481666666657,-0.005678383333333328,-0.008592149999999976
39,2.34,-5.0791513333333365,2.872222333333332,-0.004989266666666665,-0.008797233333333317
40,2.4,-5.411570000000002,2.493416499999999,-0.004401816666666666,-0.009300633333333282
41,2.46,-5.785619833333337,2.2677728333333316,-0.004038616666666657,-0.009920266666666639
42,2.52,-5.982146333333336,2.244794666666666,-0.003867616666666663,-0.010398116666666615
43,2.58,-6.445557166666671,2.0646123333333315,-0.0036173166666666557,-0.011137349999999966
44,2.64,-6.71814216666667,1.9070476666666656,-0.0034015833333333203,-0.011551283333333275
45,2.7,-6.6335228333333385,1.8179113333333323,-0.0031809166666666665,-0.011472116666666584
46,2.76,-6.660041333333337,1.7901989999999988,-0.0031563999999999984,-0.011493849999999946
