,Unnamed: 0,Time,Mx,My,CoPx,CoPy
0,0,0.0,0.6293674999999993,-0.1521838333333336,0.0,0.0
1,1,0.06,1.581153666666666,-0.4344301666666669,0.0005124333333333,0.0017154833333332998
2,2,0.12,1.1982013333333328,-0.4662555000000002,0.0005734,0.0010047
3,3,0.18,0.6162674999999994,-0.355236666666667,0.00036674999999999994,-1.9466666666700027e-05
4,4,0.24,0.5278653333333329,-0.1611248333333335,1.3716666666699969e-05,-0.0001716166666667
5,5,0.3,0.7733251666666661,0.071262333333333,-0.0003982333333331,0.00023338333333329997
6,6,0.36,0.7329801666666657,0.1776881666666662,-0.0006006166666665,0.00020340000000000007
7,7,0.42,0.3988069999999992,0.297396833333333,-0.0008182499999998,-0.00039815
8,8,0.48,0.0910128333333326,0.3601011666666663,-0.0009217333333330999,-0.0009966
9,9,0.54,-0.3096731666666672,0.4124061666666663,-0.0010189333333331,-0.0017111499999998
10,10,0.6,-0.5862583333333341,0.4981686666666662,-0.0011795666666665,-0.0021906333333332
11,11,0.66,-0.6462883333333342,0.6489029999999995,-0.0014445833333331,-0.0023288166666665
12,12,0.72,-0.6599623333333345,0.7766386666666665,-0.0016798833333332,-0.0023388499999999
13,13,0.78,-0.6814856666666673,0.9112681666666664,-0.0019241666666665002,-0.0023748666666665
14,14,0.84,-0.7401073333333337,1.0502486666666662,-0.0021698333333330998,-0.0025011999999998
15,15,0.9,-0.6271831666666673,1.237836333333333,-0.0025118499999998,-0.0022882499999998
16,16,0.96,-0.4732951666666673,1.3481334999999992,-0.0027307166666665,-0.0019459333333332
17,17,1.02,-0.1867176666666675,1.4516991666666663,-0.0029053999999998,-0.0014697333333332
18,18,1.08,-0.0509128333333341,1.5472919999999994,-0.0030701499999998,-0.0012506499999998999
19,19,1.14,0.0902758333333329,1.5899069999999995,-0.0031526333333332,-0.0009775666666667
20,20,1.2,0.1400416666666656,1.6442066666666666,-0.0032532499999998,-0.0008802666666666999
21,21,1.26,0.0240569999999993,1.6760589999999993,-0.0033116166666665,-0.0010881166666665866
22,22,1.32,-0.0973185000000001,1.665202166666666,-0.0032853666666665,-0.0013283833333332
23,23,1.38,-0.2763230000000005,1.5827405000000003,-0.0031313666666665002,-0.0016682499999998
24,24,1.44,-0.4804950000000006,1.4054448333333334,-0.0028225333333332,-0.0019988999999999
25,25,1.5,-0.4742983333333341,1.2250413333333328,-0.0024937499999998,-0.0019947333333332
26,26,1.56,-0.396939166666667,1.0482724999999995,-0.0021741333333331,-0.0018530666666665
27,27,1.62,-0.1483811666666673,0.8870371666666663,-0.0018832499999998,-0.0013995499999999
28,28,1.68,0.3405518333333325,0.8167623333333329,-0.0017468999999998,-0.0005487666666666999
29,29,1.74,0.4465046666666658,0.7251651666666663,-0.0015876499999998,-0.0003320833333334
30,30,1.8,0.3770209999999997,0.5952558333333328,-0.0013645833333332,-0.00041068333333339996
31,31,1.86,0.4748326666666658,0.561419833333333,-0.0012913166666665,-0.0002806333333334
32,32,1.92,0.6026448333333329,0.5614458333333331,-0.0012839166666665,-7.908333333339992e-05
33,33,1.98,0.8693844999999996,0.5390061666666663,-0.0012474833333331,0.0004206166666665999
34,34,2.04,1.112124499999999,0.6088823333333331,-0.0013730499999998,0.0008555166666665999
35,35,2.1,1.0432709999999994,0.6783106666666664,-0.0014999666666665001,0.0007364666666666
36,36,2.16,1.1514231666666654,0.7586409999999998,-0.0016534999999998,0.00096455
37,37,2.22,1.6099758333333332,0.8379494999999996,-0.0017876499999998,0.0017570500000000002
38,38,2.28,1.8541196666666664,0.9539659999999996,-0.0019975499999998,0.0021983999999999997
39,39,2.34,2.0526949999999995,1.043243833333333,-0.0021708333333332,0.0026041166666665996
40,40,2.4,2.4024234999999994,1.1388928333333332,-0.0023469333333332,0.0032490666666665996
41,41,2.46,2.4997015,1.1779493333333335,-0.0023890666666665002,0.0033137166666666
42,42,2.52,2.067416666666666,1.271765333333333,-0.0025688499999998,0.0025707666666666
43,43,2.58,1.724124499999999,1.2595941666666663,-0.0025718833333332,0.0020431499999999997
44,44,2.64,1.863447499999999,1.2806333333333333,-0.0025887833333332,0.0022164333333332996
45,45,2.7,2.206051333333333,1.3753915,-0.0027622666666665,0.0028445166666665996
46,46,2.76,2.725217,1.3881484999999991,-0.0027899999999998,0.0038010499999999994
47,47,2.82,3.599425833333332,1.3142859999999996,-0.0026625499999998,0.0054087833333333
48,48,2.88,4.000692333333332,1.2408564999999998,-0.0025115666666665,0.0060616333333333
49,49,2.94,3.145790499999999,1.1443079999999997,-0.0023366666666665,0.00451455
50,50,3.0,2.325304166666666,1.095554,-0.0022628499999998,0.0030871333333333
51,51,3.06,1.975852166666666,1.1057236666666663,-0.0022766166666665,0.0024364666666666004
52,52,3.12,1.680860666666666,1.1228143333333331,-0.0022961166666665,0.0018591166666665998
53,53,3.18,1.2963691666666657,1.1093796666666662,-0.0022792833333331003,0.00119135
54,54,3.24,1.233254666666666,1.2244135,-0.0024930666666665,0.0010983166666666
55,55,3.3,1.4906079999999993,1.4158898333333332,-0.0028255833333332,0.0015136333333332999
56,56,3.36,1.6193243333333327,1.583789666666666,-0.0031403333333332,0.0017854000000000001
57,57,3.42,1.5742729999999991,1.6718369999999998,-0.0033170166666665,0.0017637000000000002
58,58,3.48,1.862403333333333,1.609127333333333,-0.0031897499999998,0.0022375666666666003
59,59,3.54,2.3816523333333337,1.6003511666666663,-0.0031661333333332002,0.0031499333333333
60,60,3.6,2.7401768333333325,1.7355498333333332,-0.0034101499999998,0.0037969333333333
