,Time,Mx,My,CoPx,CoPy
0,0.0,-0.13823033333333376,-0.03636550000000051,5.0533333333332527e-05,-0.00021473333333329827
1,0.06,-0.21050516666666727,-0.06094266666666699,9.006666666663439e-05,-0.0003191166666666083
2,0.12,-0.30643416666666734,-0.07497766666666701,0.00010463333333329292,-0.00047464999999993995
3,0.18,-0.2530143333333339,-0.06779350000000046,9.253333333329455e-05,-0.00039691666666660834
4,0.24,-0.22681733333333398,-0.007115333333333714,2.436666666666597e-05,-0.00031724999999995174
5,0.3,0.02030066666666613,-0.04474916666666705,6.211666666665433e-05,2.1783333333328636e-05
6,0.36,0.13565149999999934,-0.032795833333333684,3.96499999999925e-05,0.00018726666666662168
7,0.42,0.14168733333333292,0.04951233333333283,-7.883333333332883e-05,0.00020573333333328837
8,0.48,0.13385866666666593,0.1584553333333331,-0.00024583333333332995,0.00018823333333327832
9,0.54,-0.032602166666667216,0.3026349999999996,-0.00045333333333333,-4.4699999999986816e-05
10,0.6,-0.20700200000000055,0.46408866666666637,-0.0007001,-0.00031451666666661003
11,0.66,-0.4779590000000006,0.6220653333333329,-0.0009385333333333333,-0.0007238833333332851
12,0.72,-0.8861053333333339,0.8227113333333329,-0.0012359333333333334,-0.0013292999999999465
13,0.78,-1.1255258333333338,0.8888439999999996,-0.0013440833333333332,-0.0017056166666665968
14,0.84,-1.2881153333333335,0.8706511666666663,-0.0013208166666666664,-0.0019575666666666186
15,0.9,-1.5044776666666673,0.8748453333333329,-0.0013201499999999998,-0.0022698333333332887
16,0.96,-1.6694800000000003,0.8589159999999995,-0.0012928333333333333,-0.0025122166666666232
17,1.02,-1.848459666666667,0.7711996666666663,-0.0011629000000000001,-0.002785133333333275
18,1.08,-1.9424193333333344,0.6374561666666665,-0.0009688000000000001,-0.002938866666666625
19,1.14,-1.6343478333333339,0.46836733333333297,-0.0007102,-0.002468083333333287
20,1.2,-1.1582656666666673,0.22600466666666624,-0.00032823333333332827,-0.001722333333333285
21,1.26,-0.491263333333334,-0.0479943333333337,6.001666666663276e-05,-0.0007594666666666117
22,1.32,-0.11667166666666734,-0.35064916666666723,0.0005208166666665768,-0.0001866333333332983
23,1.38,0.19491983333333274,-0.6014375000000005,0.00089756666666658,0.00028133333333330674
24,1.44,0.3332466666666661,-0.7541623333333336,0.0011254499999999049,0.00048653333333329005
25,1.5,0.47509666666666617,-0.7460413333333336,0.0011248666666665735,0.00071929999999995
26,1.56,0.7714695000000004,-0.7820773333333338,0.0011618333333332433,0.0011358999999999714
27,1.62,0.8231033333333326,-0.7940925000000002,0.0011830999999999032,0.0012189333333332796
28,1.68,0.3737809999999995,-0.6396955000000004,0.0009691666666665748,0.0005740666666666233
29,1.74,-0.19175416666666728,-0.4441685000000003,0.0006583166666665683,-0.00030458333333328495
30,1.8,-0.7764556666666672,-0.164505666666667,0.00024936666666658315,-0.0011645999999999402
31,1.86,-1.1144053333333341,0.05800316666666623,-8.938333333333375e-05,-0.001679866666666613
32,1.92,-1.451873333333334,0.24231299999999967,-0.00037443333333333,-0.002200516666666623
33,1.98,-1.6571195000000007,0.4346076666666663,-0.0006594500000000001,-0.0025018666666665854
34,2.04,-1.8924010000000002,0.646852166666666,-0.00097175,-0.0028439666666666215
35,2.1,-2.0221370000000003,0.9241936666666662,-0.0013842,-0.00303138333333329
36,2.16,-1.855735166666667,1.1237471666666663,-0.0016943499999999998,-0.002798133333333272
37,2.22,-1.6254203333333337,1.287132666666666,-0.0019410333333333336,-0.002453316666666615
38,2.28,-1.3564043333333335,1.3301246666666662,-0.0020028333333333335,-0.0020432333333332783
39,2.34,-1.0939231666666671,1.3873063333333329,-0.0020878166666666665,-0.0016464499999999482
40,2.4,-1.1821173333333341,1.4956406666666664,-0.0022528500000000003,-0.0017832833333332667
41,2.46,-1.4286543333333337,1.6966553333333327,-0.0025543166666666672,-0.0021522666666666133
42,2.52,-1.7513416666666675,1.9263908333333328,-0.0029030166666666663,-0.0026438833333332994
43,2.58,-2.2071295000000006,2.005447333333333,-0.0030205166666666667,-0.003326266666666618
44,2.64,-2.615284666666667,2.075937,-0.0031243833333333337,-0.003936266666666615
45,2.7,-2.7405585000000006,2.0115138333333333,-0.0030263499999999997,-0.004122633333333272
46,2.76,-2.600427500000001,1.753636833333333,-0.0026396666666666665,-0.003914499999999963
47,2.82,-2.4982748333333338,1.3981459999999997,-0.0021022666666666665,-0.0037560499999999574
48,2.88,-2.5101790000000004,1.0404603333333329,-0.0015767166666666667,-0.003795266666666605
49,2.94,-2.634800833333334,0.7890936666666664,-0.0011905999999999998,-0.003969633333333264
50,3.0,-2.8056915000000004,0.5827269999999999,-0.0008684999999999999,-0.004208033333333291
51,3.06,-2.841391333333333,0.3691138333333329,-0.0005614,-0.0042837833333332865
52,3.12,-3.0486415000000004,0.22698783333333272,-0.0003480666666666667,-0.004596383333333311
53,3.18,-3.167866333333334,0.12329016666666623,-0.00019289999999999002,-0.004776483333333287
54,3.24,-3.224078000000001,0.05483666666666619,-8.880000000000049e-05,-0.004859399999999946
55,3.3,-3.196113833333334,0.008267999999999462,-1.346666666666757e-05,-0.004809899999999987
56,3.36,-3.0854011666666668,-0.01462983333333389,1.653333333333095e-05,-0.004649666666666659
57,3.42,-3.032821,-0.012601333333333724,1.2766666666665875e-05,-0.0045716166666666365
58,3.48,-2.850339833333334,0.035166166666666214,-5.32500000000009e-05,-0.004288783333333284
59,3.54,-2.469949333333334,0.07757299999999946,-0.00011908333333333364,-0.0037193499999999585
60,3.6,-2.2258458333333335,0.1565461666666662,-0.00023553333333332837,-0.0033483666666666145
61,3.66,-2.1694145000000007,0.2275246666666662,-0.00034790000000000005,-0.003272049999999947
62,3.72,-2.2458693333333333,0.37670266666666624,-0.0005750333333333332,-0.00339126666666663
63,3.78,-2.403899666666667,0.5435554999999996,-0.0008264166666666668,-0.0036304333333332913
64,3.84,-2.3232621666666673,0.7431924999999998,-0.001127416666666667,-0.003509866666666608
65,3.9,-2.1399625,0.9143653333333328,-0.0013638166666666669,-0.003198466666666618
66,3.96,-1.7818168333333337,0.9993026666666663,-0.0014997333333333334,-0.0026737999999999445
67,4.02,-1.570657333333334,1.102457333333333,-0.0016719999999999999,-0.00238671666666659
68,4.08,-1.645438666666667,1.2019639999999996,-0.001815733333333333,-0.002488216666666605
69,4.14,-1.6068071666666672,1.2430766666666666,-0.0018761000000000001,-0.002427616666666615
70,4.2,-1.5643866666666673,1.2522096666666664,-0.0018822333333333332,-0.0023499333333332818
71,4.26,-1.652287833333334,1.1370568333333329,-0.0017102,-0.002484683333333286
72,4.32,-1.7685266666666672,0.9879989999999996,-0.0014892166666666666,-0.0026655666666665968
73,4.38,-1.7036176666666671,0.8759538333333332,-0.0013200000000000002,-0.002566716666666616
74,4.44,-1.5648561666666672,0.7417616666666664,-0.0011205833333333332,-0.002362033333333289
75,4.5,-1.371871333333334,0.551385333333333,-0.00083625,-0.0020746333333332948
76,4.56,-1.4213738333333341,0.42853099999999983,-0.0006425833333333334,-0.0021343833333332734
77,4.62,-1.5174866666666673,0.23185866666666627,-0.00034913333333333175,-0.002283066666666621
78,4.68,-1.6049001666666673,0.11780566666666624,-0.00018678333333332832,-0.002429866666666605
79,4.74,-1.8759630000000007,0.07622416666666612,-0.0001251833333333303,-0.0028387499999999516
80,4.8,-2.066466500000001,0.05247349999999954,-7.181666666666551e-05,-0.003097649999999929
81,4.86,-2.144392833333334,-0.01299066666666711,1.6183333333329266e-05,-0.0032310166666666097
82,4.92,-2.3315913333333342,-0.0820678333333337,0.00011321666666659645,-0.0035230499999999404
83,4.98,-2.8178356666666677,0.013277666666666292,-2.6950000000003935e-05,-0.004249399999999957
84,5.04,-3.3143233333333346,0.15927516666666622,-0.0002459666666666617,-0.004995399999999947
85,5.1,-3.287982333333334,0.2548853333333329,-0.00038179999999999996,-0.004944299999999949
86,5.16,-2.7973635000000003,0.2698818333333328,-0.00040713333333333176,-0.004210033333333295
87,5.22,-2.1663113333333337,0.2453629999999997,-0.00036965000000000007,-0.0032596999999999665
88,5.28,-1.504456833333334,0.20895749999999957,-0.0003096,-0.0022550833333332978
89,5.34,-1.534965166666667,0.2825791666666662,-0.00043388333333333335,-0.002323433333333273
90,5.4,-2.3709760000000006,0.6353861666666661,-0.00096175,-0.0035764166666666358
91,5.46,-3.3311108333333337,1.0681466666666661,-0.0016107166666666666,-0.0050171666666666385
92,5.52,-3.9513506666666673,1.3035246666666667,-0.0019635166666666665,-0.005948449999999954
93,5.58,-4.054417833333334,1.3405346666666662,-0.0020245166666666673,-0.006111583333333311
