,Unnamed: 0,Time,Mx,My,CoPx,CoPy
0,0,0.0,0.0177193333333323,0.110582833333333,0.0,0.0
1,1,0.06,-0.3399940000000011,0.248977833333333,-0.00020853333333339998,-0.000519616666666502
2,2,0.12,-0.5393106666666669,0.4208446666666665,-0.0004853666666667,-0.0008781499999999021
3,3,0.18,-0.4963281666666674,0.5515551666666664,-0.0006749166666667,-0.000739283333333202
4,4,0.24,-0.3772640000000005,0.6873526666666666,-0.0008998500000000001,-0.0006213166666665021
5,5,0.3,-0.2136876666666668,0.8697964999999999,-0.0011983333333334,-0.000437316666666502
6,6,0.36,-0.4536700000000006,0.9959559999999998,-0.0013700666666667,-0.000689866666666502
7,7,0.42,-0.5700805000000009,0.9642014999999998,-0.0013268166666667,-0.000901316666666502
8,8,0.48,-0.8460418333333336,1.0292639999999995,-0.0014240666666666998,-0.0013112999999999018
9,9,0.54,-1.5361761666666676,0.9560978333333332,-0.00130975,-0.0023842666666665023
10,10,0.6,-2.1798041666666683,0.7810836666666664,-0.0010629166666666998,-0.0035188666666665022
11,11,0.66,-2.3085710000000006,0.3961288333333331,-0.0004403333333333,-0.0035992666666665022
12,12,0.72,-2.003680333333333,0.2130416666666664,-0.00015885,-0.003144749999999902
13,13,0.78,-1.5122241666666685,0.3058933333333332,-0.00030591666666669997,-0.002391616666666502
14,14,0.84,-0.928361833333334,0.2590728333333331,-0.00022864999999999997,-0.001458899999999902
15,15,0.9,-0.3795695000000008,0.1520314999999996,-6.394999999999998e-05,-0.000615399999999902
16,16,0.96,-0.2605551666666675,0.1757556666666664,-9.815e-05,-0.00041526666666650197
17,17,1.02,-0.3430910000000012,0.1018848333333331,1.6966666666600003e-05,-0.000543366666666502
18,18,1.08,-0.8294165000000008,0.0494379999999997,9.96499999999015e-05,-0.001294583333333202
19,19,1.14,-1.0057331666666676,0.0366706666666664,0.00011951666666656802,-0.001569766666666502
20,20,1.2,-1.4977786666666677,0.1487188333333331,-7.818333333339998e-05,-0.002465533333333202
21,21,1.26,-2.6289648333333338,0.4834234999999998,-0.00056935,-0.004060299999999902
22,22,1.32,-3.712554,0.9891893333333333,-0.0013678833333333998,-0.005805866666666502
23,23,1.38,-4.134060000000001,1.2530026666666665,-0.0017929666666666997,-0.006536149999999902
24,24,1.44,-3.908516166666667,1.4529051666666666,-0.0020773333333333997,-0.0060476666666665025
25,25,1.5,-3.896975500000001,1.523975,-0.0022109166666667,-0.006143299999999902
26,26,1.56,-3.719095666666668,1.5501295,-0.0022453333333334,-0.005835133333333202
27,27,1.62,-3.925662166666668,1.5138638333333334,-0.0021704333333333998,-0.006065733333333202
28,28,1.68,-4.544401500000001,1.495998,-0.0021617666666667,-0.0071250999999999025
29,29,1.74,-4.991731833333335,1.4992586666666663,-0.00216585,-0.007816166666666501
30,30,1.8,-5.390950833333333,1.4645793333333337,-0.0021041666666667,-0.008399866666666603
31,31,1.86,-5.228626666666668,1.1985301666666663,-0.0017066666666666998,-0.008235533333333203
32,32,1.92,-4.628682166666667,0.8462223333333332,-0.0011384499999999998,-0.0071968833333332025
33,33,1.98,-4.082422333333334,0.3897359999999998,-0.00043498333333340006,-0.006387216666666502
34,34,2.04,-3.606493,0.1067894999999997,2.108333333330001e-05,-0.005555233333333202
35,35,2.1,-3.0180971666666667,0.0328678333333331,0.0001126999999999015,-0.004778233333333202
36,36,2.16,-2.7823443333333344,-0.0007628333333335,0.00015554999999989978,-0.0044669999999999025
37,37,2.22,-2.4767936666666666,0.1678713333333331,-7.509999999999998e-05,-0.003805033333333202
38,38,2.28,-1.9898000000000005,0.1908724999999997,-0.0001266666666667,-0.003135983333333202
39,39,2.34,-1.670066333333334,0.285579333333333,-0.00025881666666669996,-0.0025530333333332023
40,40,2.4,-1.5933960000000007,0.3650041666666663,-0.00040668333333339997,-0.002565833333333202
41,41,2.46,-1.7546771666666674,0.4481924999999998,-0.0005263166666667,-0.0027629666666665023
42,42,2.52,-1.997707666666667,0.5211171666666663,-0.0006316833333334,-0.0030972166666665022
43,43,2.58,-2.514839166666668,0.577396833333333,-0.0007151833333333,-0.003879799999999902
44,44,2.64,-3.313464000000001,0.5879514999999997,-0.0007445666666667,-0.005194566666666602
45,45,2.7,-3.523326333333334,0.7554661666666663,-0.0010149999999999998,-0.0055727166666665025
46,46,2.76,-3.261014333333334,0.7861298333333333,-0.0010528333333334,-0.005109849999999902
47,47,2.82,-2.939500166666668,0.741699833333333,-0.0009802333333332998,-0.004591199999999902
48,48,2.88,-3.218711833333334,0.8839768333333331,-0.0011979,-0.005004833333333202
49,49,2.94,-3.4997383333333336,1.1037181666666664,-0.0015381666666666998,-0.005433083333333202
50,50,3.0,-3.718442333333334,1.2627504999999997,-0.0017829666666667,-0.0057596666666665025
51,51,3.06,-4.111377166666667,1.2572015000000003,-0.0018042666666666998,-0.006525083333333202
52,52,3.12,-4.980115666666666,1.2838519999999998,-0.0018218833333333998,-0.007755216666666602
53,53,3.18,-5.773646833333332,1.571357,-0.0022786666666667,-0.009037249999999903
54,54,3.24,-5.590003833333335,1.5491351666666664,-0.0022510166666667,-0.008787499999999901
55,55,3.3,-5.154420166666667,1.7562436666666663,-0.0025491999999999997,-0.007986049999999903
56,56,3.36,-5.363169999999999,1.6839878333333331,-0.0024648166666667,-0.008451416666666501
57,57,3.42,-6.215680833333334,1.645515,-0.0023696166666667,-0.009599733333333202
58,58,3.48,-7.192807333333334,1.5571141666666664,-0.0022499666666667,-0.011214016666666602
